------------------------------------------------------------------------------

RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES

------------------------------------------------------------------------------



------------------------------------------------------------------------------

 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
 51  22  10   9   4   0   0   0   0   0  0.000000 * 0.9375 *  Aperiodic-Template

  2  13  25  18  22   9   6   1   0   0  0.000000 * 1.0000    Aperiodic-Template

  0   3   7  13   6   7   4  10  22  24  0.000000 * 1.0000    Aperiodic-Template

 20  27  17  20   8   4   0   0   0   0  0.000000 * 1.0000    Aperiodic-Template

  0   0   1   8  16  22  12  19  15   3  0.000000 * 1.0000    Aperiodic-Template

  0   0   2  16  20  30  13  14   1   0  0.000000 * 1.0000    Aperiodic-Template

  1  14  21  18  21  11   4   5   1   0  0.000000 * 1.0000    Aperiodic-Template

  2   7   5  17  20  11  20  10   4   0  0.000000 * 1.0000    Aperiodic-Template

  1   8  18  18  17  18   6   6   3   1  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   2   8  18  19  16  19  14  0.000000 * 1.0000    Aperiodic-Template

  0   2  20  18  16  14   7  10   6   3  0.000000 * 1.0000    Aperiodic-Template

  1   7  23  35  14  11   3   2   0   0  0.000000 * 1.0000    Aperiodic-Template

  0   0   0   0   0   0   2  12  25  57  0.000000 * 1.0000    Aperiodic-Template

  0   3  22  20  30   8   7   6   0   0  0.000000 * 1.0000    Aperiodic-Template

  9  17  20  12  10  11   9   7   1   0  0.000013 * 1.0000    Aperiodic-Template

  0   0   0   4   2   4  20  16  26  24  0.000000 * 1.0000    Aperiodic-Template

  1   9  10  30  18   7  10   9   2   0  0.000000 * 1.0000    Aperiodic-Template

  0   1   9  19  15   8  10   7  17  10  0.000011 * 1.0000    Aperiodic-Template

  0   3  15  17  19  14  15   7   6   0  0.000000 * 1.0000    Aperiodic-Template

  0   0   3   2   6  10  14  23  26  12  0.000000 * 1.0000    Aperiodic-Template

  2  12  17  10  19  10   9   8   5   4  0.000522   1.0000    Aperiodic-Template

 10  14  22  14  14   8  11   3   0   0  0.000000 * 1.0000    Aperiodic-Template

 26  25  17  19   7   2   0   0   0   0  0.000000 * 1.0000    Aperiodic-Template

 10  25  24  23  10   1   3   0   0   0  0.000000 * 1.0000    Aperiodic-Template

 22  31  28  11   4   0   0   0   0   0  0.000000 * 1.0000    Aperiodic-Template

  0   8  16  21  21  15  10   4   1   0  0.000000 * 1.0000    Aperiodic-Template

  0   5  10  17  15  15   9  16   5   4  0.000040 * 1.0000    Aperiodic-Template

  0   1   0   6   8  19  19  15  17  11  0.000000 * 1.0000    Aperiodic-Template

  1   4  12  18   9  22  10  17   3   0  0.000000 * 1.0000    Aperiodic-Template

  4  12  16  22  12  15   9   6   0   0  0.000000 * 1.0000    Aperiodic-Template

 27  20  22  17   6   4   0   0   0   0  0.000000 * 1.0000    Aperiodic-Template

  1   5   7   7   6  18  19  14  12   7  0.000057 * 1.0000    Aperiodic-Template

  0  16  26  22  20   8   4   0   0   0  0.000000 * 1.0000    Aperiodic-Template

  0   2   1   6   3   4  17  19  25  19  0.000000 * 1.0000    Aperiodic-Template

  2  17  15  18  15  13  10   4   1   1  0.000000 * 1.0000    Aperiodic-Template

  5  11  14  18  26  11   7   4   0   0  0.000000 * 1.0000    Aperiodic-Template

 23  24   9   9   4  10   5   5   6   1  0.000000 * 1.0000    Aperiodic-Template

 21  32  18  10   9   5   0   1   0   0  0.000000 * 1.0000    Aperiodic-Template

  0   0   1   6  11  25  22  19  12   0  0.000000 * 1.0000    Aperiodic-Template

  0   0   5   6  22  16  12  12  15   8  0.000000 * 1.0000    Aperiodic-Template

 84  10   1   1   0   0   0   0   0   0  0.000000 * 0.8229 *  Aperiodic-Template

